timestamp,coin,symbol,price_usd
2026-05-23 14:51:55.845195+00:00,solana,SOL,83.73
2026-05-23 14:51:55.845195+00:00,ethereum,ETH,2052.02
2026-05-23 14:51:55.845195+00:00,bitcoin,BTC,75355.0
2026-05-23 14:52:05.845319+00:00,solana,SOL,83.73
2026-05-23 14:52:05.845319+00:00,ethereum,ETH,2052.02
2026-05-23 14:52:05.845319+00:00,bitcoin,BTC,75355.0
2026-05-23 14:52:49.876296+00:00,bitcoin,BTC,75353.0
2026-05-23 14:52:49.876296+00:00,solana,SOL,83.74
2026-05-23 14:52:49.876296+00:00,ethereum,ETH,2052.83
2026-05-23 14:53:49.853948+00:00,ethereum,ETH,2052.75
2026-05-23 14:53:49.853948+00:00,bitcoin,BTC,75358.0
2026-05-23 14:53:49.853948+00:00,solana,SOL,83.76
2026-05-23 14:54:49.862310+00:00,solana,SOL,83.79
2026-05-23 14:54:49.862310+00:00,ethereum,ETH,2052.42
2026-05-23 14:54:49.862310+00:00,bitcoin,BTC,75366.0
2026-05-23 14:55:49.853380+00:00,ethereum,ETH,2052.26
2026-05-23 14:55:49.853380+00:00,bitcoin,BTC,75364.0
2026-05-23 14:55:49.853380+00:00,solana,SOL,83.86
2026-05-23 14:56:49.854031+00:00,ethereum,ETH,2052.67
2026-05-23 14:56:49.854031+00:00,bitcoin,BTC,75363.0
2026-05-23 14:56:49.854031+00:00,solana,SOL,83.87
2026-05-23 14:57:49.856961+00:00,solana,SOL,84.04
2026-05-23 14:57:49.856961+00:00,ethereum,ETH,2054.25
2026-05-23 14:57:49.856961+00:00,bitcoin,BTC,75403.0
2026-05-23 14:58:49.860689+00:00,ethereum,ETH,2058.36
2026-05-23 14:58:49.860689+00:00,bitcoin,BTC,75458.0
2026-05-23 14:58:49.860689+00:00,solana,SOL,84.0
2026-05-23 14:59:49.857409+00:00,bitcoin,BTC,75499.0
2026-05-23 14:59:49.857409+00:00,solana,SOL,83.95
2026-05-23 14:59:49.857409+00:00,ethereum,ETH,2060.02
2026-05-23 15:00:49.849277+00:00,bitcoin,BTC,75473.0
2026-05-23 15:00:49.849277+00:00,ethereum,ETH,2059.6
2026-05-23 15:00:49.849277+00:00,solana,SOL,83.92
2026-05-23 15:01:49.853373+00:00,solana,SOL,84.07
2026-05-23 15:01:49.853373+00:00,ethereum,ETH,2059.75
2026-05-23 15:01:49.853373+00:00,bitcoin,BTC,75460.0
2026-05-23 15:02:49.852390+00:00,bitcoin,BTC,75437.0
2026-05-23 15:02:49.852390+00:00,solana,SOL,83.99
2026-05-23 15:02:49.852390+00:00,ethereum,ETH,2059.23
2026-05-23 15:03:49.861567+00:00,ethereum,ETH,2059.51
2026-05-23 15:03:49.861567+00:00,bitcoin,BTC,75427.0
2026-05-23 15:03:49.861567+00:00,solana,SOL,83.97
2026-05-23 15:04:49.853218+00:00,bitcoin,BTC,75424.0
2026-05-23 15:04:49.853218+00:00,solana,SOL,84.04
2026-05-23 15:04:49.853218+00:00,ethereum,ETH,2059.67
2026-05-23 15:05:49.850370+00:00,ethereum,ETH,2061.35
2026-05-23 15:05:49.850370+00:00,solana,SOL,84.09
2026-05-23 15:05:49.850370+00:00,bitcoin,BTC,75433.0
2026-05-23 15:06:49.853978+00:00,ethereum,ETH,2061.1
2026-05-23 15:06:49.853978+00:00,solana,SOL,84.07
2026-05-23 15:06:49.853978+00:00,bitcoin,BTC,75433.0
2026-05-23 15:07:49.850010+00:00,solana,SOL,84.08
2026-05-23 15:07:49.850010+00:00,bitcoin,BTC,75439.0
2026-05-23 15:07:49.850010+00:00,ethereum,ETH,2061.22
2026-05-23 15:08:49.852555+00:00,ethereum,ETH,2061.75
2026-05-23 15:08:49.852555+00:00,bitcoin,BTC,75457.0
2026-05-23 15:08:49.852555+00:00,solana,SOL,84.18
2026-05-23 15:09:49.851307+00:00,ethereum,ETH,2062.73
2026-05-23 15:09:49.851307+00:00,solana,SOL,84.24
