developer,repositories,repository_count,total_contributions
yychanlee,fastapi/fastapi,1,14
Xewus,fastapi/fastapi,1,13
adambyrtek,pallets/flask,1,13
dag,pallets/flask,1,13
euri10,fastapi/fastapi,1,13
kantandane,fastapi/fastapi,1,13
wgwz,pallets/flask,1,13
flying-sheep,pallets/flask,1,12
s3rvac,pallets/flask,1,12
alv2017,fastapi/fastapi,1,11
marcelomarkus,fastapi/fastapi,1,11
mariacamilagl,fastapi/fastapi,1,11
zhaohan-dong,fastapi/fastapi,1,11
KaniKim,fastapi/fastapi,1,10
Smlep,fastapi/fastapi,1,10
dawranliou,pallets/flask,1,10
Vincy1230,fastapi/fastapi,1,9
barsi,fastapi/fastapi,1,9
garenchan,pallets/flask,1,9
handabaldeep,fastapi/fastapi,1,9
plaes,pallets/flask,1,9
xzmeng,fastapi/fastapi,1,9
Serrones,fastapi/fastapi,1,8
methane,pallets/flask,1,8
pablocm83,fastapi/fastapi,1,8
vishnuvskvkl,fastapi/fastapi,1,8
vtbassmatt,pallets/flask,1,8
Alexandrhub,fastapi/fastapi,1,7
estebanx64,fastapi/fastapi,1,7
miguelgrinberg,pallets/flask,1,7
tullyrankin,pallets/flask,1,7
yuxiaoy1,pallets/flask,1,7
Winnetou,pallets/flask,1,6
akavlie,pallets/flask,1,6
alexpantyukhin,pallets/flask,1,6
antsar,pallets/flask,1,6
aqt01,pallets/flask,1,6
cvrebert,pallets/flask,1,6
