source,target,weight,shared_repositories
ThiefMaster,keyan,1,pallets/flask
ThiefMaster,lepture,1,pallets/flask
ThiefMaster,lord63,1,pallets/flask
ThiefMaster,methane,1,pallets/flask
ThiefMaster,miguelgrinberg,1,pallets/flask
ThiefMaster,mitsuhiko,1,pallets/flask
ThiefMaster,pgjones,1,pallets/flask
ThiefMaster,plaes,1,pallets/flask
ThiefMaster,pre-commit-ci[bot],1,pallets/flask
ThiefMaster,rduplain,1,pallets/flask
ThiefMaster,s3rvac,1,pallets/flask
ThiefMaster,tullyrankin,1,pallets/flask
ThiefMaster,untitaker,1,pallets/flask
ThiefMaster,vtbassmatt,1,pallets/flask
ThiefMaster,wgwz,1,pallets/flask
ThiefMaster,yuxiaoy1,1,pallets/flask
ThomasWaldmann,Winnetou,1,pallets/flask
ThomasWaldmann,adambyrtek,1,pallets/flask
ThomasWaldmann,akavlie,1,pallets/flask
ThomasWaldmann,alexpantyukhin,1,pallets/flask
ThomasWaldmann,antsar,1,pallets/flask
ThomasWaldmann,aqt01,1,pallets/flask
ThomasWaldmann,cvrebert,1,pallets/flask
ThomasWaldmann,dag,1,pallets/flask
ThomasWaldmann,davidism,1,pallets/flask
ThomasWaldmann,dawranliou,1,pallets/flask
ThomasWaldmann,defuz,1,pallets/flask
ThomasWaldmann,dependabot-preview[bot],1,pallets/flask
ThomasWaldmann,dependabot[bot],1,pallets/flask
ThomasWaldmann,florentx,1,pallets/flask
ThomasWaldmann,flying-sheep,1,pallets/flask
ThomasWaldmann,garenchan,1,pallets/flask
ThomasWaldmann,greyli,1,pallets/flask
ThomasWaldmann,jab,1,pallets/flask
ThomasWaldmann,jeffwidman,1,pallets/flask
ThomasWaldmann,kennethreitz,1,pallets/flask
ThomasWaldmann,keyan,1,pallets/flask
ThomasWaldmann,lepture,1,pallets/flask
ThomasWaldmann,lord63,1,pallets/flask
ThomasWaldmann,methane,1,pallets/flask
ThomasWaldmann,miguelgrinberg,1,pallets/flask
ThomasWaldmann,mitsuhiko,1,pallets/flask
ThomasWaldmann,pgjones,1,pallets/flask
ThomasWaldmann,plaes,1,pallets/flask
