source,target,weight,shared_repositories
MarcoGorelli,gfyoung,1,pandas-dev/pandas
MarcoGorelli,h-vetinari,1,pandas-dev/pandas
MarcoGorelli,hayd,1,pandas-dev/pandas
MarcoGorelli,jbrockmendel,1,pandas-dev/pandas
MarcoGorelli,jorisvandenbossche,1,pandas-dev/pandas
MarcoGorelli,jreback,1,pandas-dev/pandas
MarcoGorelli,jschendel,1,pandas-dev/pandas
MarcoGorelli,jseabold,1,pandas-dev/pandas
MarcoGorelli,jtratner,1,pandas-dev/pandas
MarcoGorelli,lithomas1,1,pandas-dev/pandas
MarcoGorelli,lukemanley,1,pandas-dev/pandas
MarcoGorelli,mroeschke,1,pandas-dev/pandas
MarcoGorelli,mzeitlin11,1,pandas-dev/pandas
MarcoGorelli,natmokval,1,pandas-dev/pandas
MarcoGorelli,orbitfold,1,pandas-dev/pandas
MarcoGorelli,phofl,1,pandas-dev/pandas
MarcoGorelli,rhshadrach,1,pandas-dev/pandas
MarcoGorelli,simonjayhawkins,1,pandas-dev/pandas
MarcoGorelli,sinhrks,1,pandas-dev/pandas
MarcoGorelli,toobaz,1,pandas-dev/pandas
MarcoGorelli,topper-123,1,pandas-dev/pandas
MarcoGorelli,tuhinsharma121,1,pandas-dev/pandas
MarcoGorelli,twoertwein,1,pandas-dev/pandas
MarcoGorelli,wesm,1,pandas-dev/pandas
MarkusH,SmileyChris,1,django/django
MarkusH,aaugustin,1,django/django
MarkusH,adamchainz,1,django/django
MarkusH,adrianholovaty,1,django/django
MarkusH,akaariai,1,django/django
MarkusH,alex,1,django/django
MarkusH,andrewgodwin,1,django/django
MarkusH,apollo13,1,django/django
MarkusH,atombrella,1,django/django
MarkusH,bmispelon,1,django/django
MarkusH,brosner,1,django/django
MarkusH,carljm,1,django/django
MarkusH,carltongibson,1,django/django
MarkusH,charettes,1,django/django
MarkusH,cjerdonek,1,django/django
MarkusH,claudep,1,django/django
MarkusH,felixxm,1,django/django
MarkusH,freakboy3742,1,django/django
MarkusH,gdub,1,django/django
MarkusH,hramezani,1,django/django
MarkusH,jacobian,1,django/django
MarkusH,jacobtylerwalls,1,django/django
MarkusH,jbronn,1,django/django
MarkusH,jdufresne,1,django/django
MarkusH,jezdez,1,django/django
MarkusH,jphalip,1,django/django
MarkusH,kmtracey,1,django/django
MarkusH,loic,1,django/django
MarkusH,malcolmt,1,django/django
MarkusH,mjtamlyn,1,django/django
MarkusH,nessita,1,django/django
MarkusH,ngnpope,1,django/django
MarkusH,ramiro,1,django/django
MarkusH,sarahboyce,1,django/django
MarkusH,sir-sigurd,1,django/django
MarkusH,smithdc1,1,django/django
MarkusH,spookylukey,1,django/django
MarkusH,timgraham,1,django/django
MarkusH,ubernostrum,1,django/django
MechCoder,NelleV,1,scikit-learn/scikit-learn
MechCoder,NicolasHug,1,scikit-learn/scikit-learn
MechCoder,StefanieSenger,1,scikit-learn/scikit-learn
MechCoder,TomDLT,1,scikit-learn/scikit-learn
MechCoder,adrinjalali,1,scikit-learn/scikit-learn
MechCoder,agramfort,1,scikit-learn/scikit-learn
MechCoder,ahojnnes,1,scikit-learn/scikit-learn
MechCoder,alextp,1,scikit-learn/scikit-learn
MechCoder,amueller,1,scikit-learn/scikit-learn
MechCoder,arjoly,1,scikit-learn/scikit-learn
MechCoder,betatim,1,scikit-learn/scikit-learn
MechCoder,clayw,1,scikit-learn/scikit-learn
MechCoder,cmarmo,1,scikit-learn/scikit-learn
MechCoder,glemaitre,1,scikit-learn/scikit-learn
MechCoder,glouppe,1,scikit-learn/scikit-learn
MechCoder,jakevdp,1,scikit-learn/scikit-learn
MechCoder,jeremiedbb,1,scikit-learn/scikit-learn
MechCoder,jjerphan,1,scikit-learn/scikit-learn
MechCoder,jnothman,1,scikit-learn/scikit-learn
MechCoder,kemaleren,1,scikit-learn/scikit-learn
MechCoder,larsmans,1,scikit-learn/scikit-learn
MechCoder,lesteve,1,scikit-learn/scikit-learn
MechCoder,lorentzenchr,1,scikit-learn/scikit-learn
MechCoder,lucyleeow,1,scikit-learn/scikit-learn
MechCoder,mblondel,1,scikit-learn/scikit-learn
MechCoder,oddskool,1,scikit-learn/scikit-learn
MechCoder,ogrisel,1,scikit-learn/scikit-learn
MechCoder,pprett,1,scikit-learn/scikit-learn
MechCoder,qinhanmin2014,1,scikit-learn/scikit-learn
MechCoder,raghavrv,1,scikit-learn/scikit-learn
MechCoder,robertlayton,1,scikit-learn/scikit-learn
MechCoder,rth,1,scikit-learn/scikit-learn
MechCoder,scikit-learn-bot,1,scikit-learn/scikit-learn
MechCoder,thomasjpfan,1,scikit-learn/scikit-learn
MechCoder,vene,1,scikit-learn/scikit-learn
MechCoder,weilinear,1,scikit-learn/scikit-learn
NelleV,NicolasHug,1,scikit-learn/scikit-learn
NelleV,StefanieSenger,1,scikit-learn/scikit-learn
NelleV,TomDLT,1,scikit-learn/scikit-learn
NelleV,adrinjalali,1,scikit-learn/scikit-learn
NelleV,agramfort,1,scikit-learn/scikit-learn
NelleV,ahojnnes,1,scikit-learn/scikit-learn
NelleV,alextp,1,scikit-learn/scikit-learn
NelleV,amueller,1,scikit-learn/scikit-learn
NelleV,arjoly,1,scikit-learn/scikit-learn
NelleV,betatim,1,scikit-learn/scikit-learn
NelleV,clayw,1,scikit-learn/scikit-learn
NelleV,cmarmo,1,scikit-learn/scikit-learn
NelleV,glemaitre,1,scikit-learn/scikit-learn
NelleV,glouppe,1,scikit-learn/scikit-learn
NelleV,jakevdp,1,scikit-learn/scikit-learn
NelleV,jeremiedbb,1,scikit-learn/scikit-learn
NelleV,jjerphan,1,scikit-learn/scikit-learn
NelleV,jnothman,1,scikit-learn/scikit-learn
NelleV,kemaleren,1,scikit-learn/scikit-learn
NelleV,larsmans,1,scikit-learn/scikit-learn
NelleV,lesteve,1,scikit-learn/scikit-learn
NelleV,lorentzenchr,1,scikit-learn/scikit-learn
NelleV,lucyleeow,1,scikit-learn/scikit-learn
NelleV,mblondel,1,scikit-learn/scikit-learn
NelleV,oddskool,1,scikit-learn/scikit-learn
NelleV,ogrisel,1,scikit-learn/scikit-learn
NelleV,pprett,1,scikit-learn/scikit-learn
NelleV,qinhanmin2014,1,scikit-learn/scikit-learn
NelleV,raghavrv,1,scikit-learn/scikit-learn
NelleV,robertlayton,1,scikit-learn/scikit-learn
NelleV,rth,1,scikit-learn/scikit-learn
NelleV,scikit-learn-bot,1,scikit-learn/scikit-learn
NelleV,thomasjpfan,1,scikit-learn/scikit-learn
NelleV,vene,1,scikit-learn/scikit-learn
NelleV,weilinear,1,scikit-learn/scikit-learn
NicolasHug,StefanieSenger,1,scikit-learn/scikit-learn
NicolasHug,TomDLT,1,scikit-learn/scikit-learn
NicolasHug,adrinjalali,1,scikit-learn/scikit-learn
NicolasHug,agramfort,1,scikit-learn/scikit-learn
NicolasHug,ahojnnes,1,scikit-learn/scikit-learn
NicolasHug,alextp,1,scikit-learn/scikit-learn
NicolasHug,amueller,1,scikit-learn/scikit-learn
NicolasHug,arjoly,1,scikit-learn/scikit-learn
NicolasHug,betatim,1,scikit-learn/scikit-learn
NicolasHug,clayw,1,scikit-learn/scikit-learn
NicolasHug,cmarmo,1,scikit-learn/scikit-learn
NicolasHug,glemaitre,1,scikit-learn/scikit-learn
NicolasHug,glouppe,1,scikit-learn/scikit-learn
NicolasHug,jakevdp,1,scikit-learn/scikit-learn
NicolasHug,jeremiedbb,1,scikit-learn/scikit-learn
NicolasHug,jjerphan,1,scikit-learn/scikit-learn
NicolasHug,jnothman,1,scikit-learn/scikit-learn
NicolasHug,kemaleren,1,scikit-learn/scikit-learn
NicolasHug,larsmans,1,scikit-learn/scikit-learn
NicolasHug,lesteve,1,scikit-learn/scikit-learn
NicolasHug,lorentzenchr,1,scikit-learn/scikit-learn
NicolasHug,lucyleeow,1,scikit-learn/scikit-learn
NicolasHug,mblondel,1,scikit-learn/scikit-learn
NicolasHug,oddskool,1,scikit-learn/scikit-learn
NicolasHug,ogrisel,1,scikit-learn/scikit-learn
NicolasHug,pprett,1,scikit-learn/scikit-learn
NicolasHug,qinhanmin2014,1,scikit-learn/scikit-learn
NicolasHug,raghavrv,1,scikit-learn/scikit-learn
NicolasHug,robertlayton,1,scikit-learn/scikit-learn
NicolasHug,rth,1,scikit-learn/scikit-learn
NicolasHug,scikit-learn-bot,1,scikit-learn/scikit-learn
NicolasHug,thomasjpfan,1,scikit-learn/scikit-learn
NicolasHug,vene,1,scikit-learn/scikit-learn
NicolasHug,weilinear,1,scikit-learn/scikit-learn
Serrones,Smlep,1,fastapi/fastapi
Serrones,SwftAlpc,1,fastapi/fastapi
Serrones,Vincy1230,1,fastapi/fastapi
Serrones,Xewus,1,fastapi/fastapi
Serrones,YuriiMotov,1,fastapi/fastapi
Serrones,Zhongheng-Cheng,1,fastapi/fastapi
Serrones,alejsdev,1,fastapi/fastapi
Serrones,alv2017,1,fastapi/fastapi
Serrones,barsi,1,fastapi/fastapi
Serrones,ceb10n,1,fastapi/fastapi
Serrones,dependabot[bot],1,fastapi/fastapi
Serrones,dmontagu,1,fastapi/fastapi
Serrones,estebanx64,1,fastapi/fastapi
Serrones,euri10,1,fastapi/fastapi
Serrones,github-actions[bot],1,fastapi/fastapi
Serrones,handabaldeep,1,fastapi/fastapi
Serrones,hard-coders,1,fastapi/fastapi
Serrones,hasansezertasan,1,fastapi/fastapi
Serrones,jaystone776,1,fastapi/fastapi
Serrones,kantandane,1,fastapi/fastapi
Serrones,marcelomarkus,1,fastapi/fastapi
Serrones,mariacamilagl,1,fastapi/fastapi
Serrones,nilslindemann,1,fastapi/fastapi
Serrones,pablocm83,1,fastapi/fastapi
Serrones,pre-commit-ci[bot],1,fastapi/fastapi
Serrones,svlandeg,1,fastapi/fastapi
Serrones,tiangolo,1,fastapi/fastapi
Serrones,tokusumi,1,fastapi/fastapi
Serrones,valentinDruzhinin,1,fastapi/fastapi
Serrones,vishnuvskvkl,1,fastapi/fastapi
Serrones,waynerv,1,fastapi/fastapi
Serrones,xzmeng,1,fastapi/fastapi
Serrones,yychanlee,1,fastapi/fastapi
Serrones,zhaohan-dong,1,fastapi/fastapi
ShaharNaveh,TomAugspurger,1,pandas-dev/pandas
ShaharNaveh,WillAyd,1,pandas-dev/pandas
ShaharNaveh,adamklein,1,pandas-dev/pandas
ShaharNaveh,alimcmaster1,1,pandas-dev/pandas
ShaharNaveh,attack68,1,pandas-dev/pandas
ShaharNaveh,changhiskhan,1,pandas-dev/pandas
ShaharNaveh,charlesdong1991,1,pandas-dev/pandas
ShaharNaveh,chris-b1,1,pandas-dev/pandas
ShaharNaveh,cpcloud,1,pandas-dev/pandas
ShaharNaveh,datapythonista,1,pandas-dev/pandas
ShaharNaveh,dsaxton,1,pandas-dev/pandas
ShaharNaveh,fangchenli,1,pandas-dev/pandas
ShaharNaveh,gfyoung,1,pandas-dev/pandas
ShaharNaveh,h-vetinari,1,pandas-dev/pandas
ShaharNaveh,hayd,1,pandas-dev/pandas
ShaharNaveh,jbrockmendel,1,pandas-dev/pandas
ShaharNaveh,jorisvandenbossche,1,pandas-dev/pandas
ShaharNaveh,jreback,1,pandas-dev/pandas
ShaharNaveh,jschendel,1,pandas-dev/pandas
ShaharNaveh,jseabold,1,pandas-dev/pandas
ShaharNaveh,jtratner,1,pandas-dev/pandas
ShaharNaveh,lithomas1,1,pandas-dev/pandas
ShaharNaveh,lukemanley,1,pandas-dev/pandas
ShaharNaveh,mroeschke,1,pandas-dev/pandas
ShaharNaveh,mzeitlin11,1,pandas-dev/pandas
ShaharNaveh,natmokval,1,pandas-dev/pandas
ShaharNaveh,orbitfold,1,pandas-dev/pandas
ShaharNaveh,phofl,1,pandas-dev/pandas
